model_id,provider,aliases,active_parameters_billion,total_parameters_billion,parameter_value_status,parameter_confidence,parameter_source,parameter_source_url,notes
gpt-5-nano,openai,gpt-5-nano|gpt5nano,95,95,estimated,low,Artificial Analysis size class for GPT-5 nano (medium = 40B–150B); midpoint used as screening estimate,https://artificialanalysis.ai/models/gpt-5-nano-medium,Derived midpoint estimate from the model's documented medium size class because OpenAI does not publish the parameter count.
gpt-oss-120b,openai,gpt-oss-120b|gptoss120b,5.1,117,observed,high,gpt-oss-120b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-120b,OpenAI documents the model as 117B total parameters with 5.1B active parameters per token.
gpt-oss-20b,openai,gpt-oss-20b|gptoss20b,3.6,21,observed,high,gpt-oss-20b Model | OpenAI API,https://developers.openai.com/api/docs/models/gpt-oss-20b,OpenAI documents the model as 21B total parameters with 3.6B active parameters per token.
claude-opus-4.1,anthropic,claude-opus-4.1|opus4.1,2000,2000,estimated,low,Alan D. Thompson Models Table estimate for Claude Opus 4.1 (2T),https://lifearchitect.ai/models-table/,Third-party estimate; Anthropic does not publish model size.
claude-sonnet-4,anthropic,claude-sonnet-4|sonnet4,400,400,estimated,low,Alan D. Thompson Models Table estimate for Claude Sonnet 4.5 (400B) used as family proxy,https://lifearchitect.ai/models-table/,Family proxy used because a separate published estimate for Claude Sonnet 4 was not found.
claude-3.5-sonnet,anthropic,claude-3.5-sonnet|claude35sonnet|claude 3.5 sonnet,175,175,estimated,low,Claude 3.7 Sonnet external estimate reused as a family proxy for Claude 3.5 Sonnet,https://lifearchitect.ai/models-table/,Anthropic documents the model but does not publish a parameter count; the project reuses the closest available Sonnet-family estimate for screening-level extrapolation.
claude-3.7-sonnet,anthropic,claude-3.7-sonnet|claude37sonnet,175,175,estimated,low,Alan D. Thompson Models Table estimate for Claude 3.7 Sonnet (175B),https://lifearchitect.ai/models-table/,Third-party estimate; Anthropic does not publish model size.
claude-3.5-haiku,anthropic,claude-3.5-haiku|claude35haiku,22,22,estimated,low,Artificial Analysis size taxonomy for proprietary/open-weight classes; small class midpoint (4B–40B) used as screening estimate,https://artificialanalysis.ai/models/claude-3-5-haiku,Derived midpoint estimate because Anthropic does not publish the parameter count and no more specific external estimate was found.
gemini-2.5-pro,google,gemini-2.5-pro|gemini25pro,200,200,estimated,low,Alan D. Thompson Models Table estimate for Gemini 2.5 Pro (200B),https://lifearchitect.ai/models-table/,Third-party estimate; Google does not publish a parameter count for Gemini 2.5 Pro.
gemini-2.5-flash,google,gemini-2.5-flash|gemini25flash,80,80,estimated,low,Alan D. Thompson Models Table estimate for Gemini 2.5 Flash Preview (80B),https://lifearchitect.ai/models-table/,Family proxy used from the closest published Gemini 2.5 Flash estimate.
gemini-2.5-flash-lite,google,gemini-2.5-flash-lite|gemini25flashlite,30,30,estimated,low,Gemini 2.0 Flash exp estimate (30B) used as family proxy for Flash-Lite,https://lifearchitect.ai/models-table/,Family proxy used because a specific public parameter estimate for Gemini 2.5 Flash-Lite was not found.
gemini-2.0-flash,google,gemini-2.0-flash|gemini20flash,30,30,estimated,low,Alan D. Thompson Models Table estimate for Gemini 2.0 Flash exp (30B),https://lifearchitect.ai/models-table/,Third-party estimate; Google does not publish a parameter count for Gemini 2.0 Flash.
grok-4,xai,grok-4|grok4,600,600,estimated,low,Alan D. Thompson Models Table estimate for Grok 4 (600B),https://lifearchitect.ai/models-table/,Third-party estimate; xAI does not publish the parameter count.
ministral-3b,mistral,ministral-3b|ministral3b,3,3,observed,medium,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,Model name publicly exposes the parameter count.
ministral-8b,mistral,ministral-8b|ministral8b,8,8,observed,medium,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,Model name publicly exposes the parameter count.
mistral-large,mistral,mistral-large|mistral large|mistral-large-2|mistral large 2,123,123,observed,medium,Mistral Large 2 launch note,https://mistral.ai/news/mistral-large-2407/,Mistral documents Mistral Large 2 as a 123B-parameter model; this value is used as the closest public screening proxy for Mistral Large-family API scenarios.
mistral-small-3.1-24b,mistral,mistral-small-3.1-24b|mistralsmall31|mistral small 3.1 24b,24,24,observed,medium,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,Model name publicly exposes the parameter count.
codestral-22b,mistral,codestral-22b|codestral22b,22,22,observed,medium,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,Model name publicly exposes the parameter count.
qwen2.5-7b,alibaba,qwen2.5-7b|qwen25-7b|qwen 2.5 7b,7,7,observed,high,Qwen2.5 7B model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,Model card name publicly exposes the parameter count.
qwen2.5-32b,alibaba,qwen2.5-32b|qwen25-32b|qwen 2.5 32b,32,32,observed,high,Qwen2.5 32B model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,Model card name publicly exposes the parameter count.
qwen2.5-72b,alibaba,qwen2.5-72b|qwen25-72b|qwen 2.5 72b,72,72,observed,high,Qwen2.5 72B model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,Model card name publicly exposes the parameter count.
deepseek-v3,deepseek,deepseek-v3|deepseekv3,37,671,observed,high,DeepSeek-V3 model card,https://huggingface.co/deepseek-ai/DeepSeek-V3,Mixture-of-experts model with 37B active and 671B total parameters.
deepseek-r1,deepseek,deepseek-r1|deepseekr1,37,671,observed,high,DeepSeek-R1 model card,https://huggingface.co/deepseek-ai/DeepSeek-R1,The model card states that DeepSeek-R1 is based on DeepSeek-V3-Base.
gpt-5.4,openai,GPT-5.4,1800,1800,estimated,low,Project screening frontier-family proxy for GPT-5.x closed models,https://openai.com/index/introducing-gpt-5-4/,Closed-model family proxy retained because OpenAI does not publish a parameter count for GPT-5.4.
gpt-5.4-pro,openai,GPT-5.4-pro|gpt-5.4 pro|gpt54pro,1800,1800,estimated,low,Project screening frontier-family proxy for GPT-5.x closed models,https://openai.com/index/introducing-gpt-5-4/,Same retained frontier-family proxy as GPT-5.4; OpenAI documents the product tier but not a distinct parameter count.
gpt-5.4-mini,openai,GPT-5.4 mini|gpt-5.4 mini|gpt54mini,95,95,estimated,low,Project screening medium-size proxy anchored to the GPT-5.4 mini release line,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,Medium-size proxy retained for GPT-5.4 mini because OpenAI documents capabilities but does not publish a parameter count.
gpt-5.4-nano,openai,GPT-5.4 nano|gpt-5.4 nano|gpt54nano,95,95,estimated,low,Project screening medium-size proxy anchored to the GPT-5.4 nano release line,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,Medium-size proxy retained for GPT-5.4 nano because OpenAI documents capabilities but does not publish a parameter count.
gpt-5.5,openai,GPT-5.5|gpt55,2000,2000,estimated,low,Project screening frontier-family proxy for the GPT-5.5 release line,https://openai.com/index/introducing-gpt-5-5/,Frontier-family proxy retained because OpenAI documents GPT-5.5 capabilities but not the parameter count.
gpt-5.5-pro,openai,GPT-5.5-pro|gpt-5.5 pro|gpt55pro,2000,2000,estimated,low,Project screening frontier-family proxy for the GPT-5.5 release line,https://openai.com/index/introducing-gpt-5-5/,Retained the GPT-5.5 frontier proxy for the Pro tier because OpenAI does not publish a separate parameter count.
claude-sonnet-4.6,anthropic,Claude Sonnet 4.6|claude sonnet 4.6|sonnet4.6,400,400,estimated,low,Project screening family proxy for Claude Sonnet 4.x,https://www.anthropic.com/news/claude-sonnet-4-6,Family proxy retained because Anthropic does not publish a parameter count for Claude Sonnet 4.6.
claude-opus-4.6,anthropic,Claude Opus 4.6|claude opus 4.6|opus4.6,2000,2000,estimated,low,Project screening family proxy for Claude Opus 4.x,https://www.anthropic.com/news/claude-opus-4-6,Family proxy retained because Anthropic does not publish a parameter count for Claude Opus 4.6.
claude-opus-4.7,anthropic,Claude Opus 4.7|claude opus 4.7|opus4.7,2000,2000,estimated,low,Project screening family proxy for Claude Opus 4.x,https://www.anthropic.com/news/claude-opus-4-7,Family proxy retained because Anthropic does not publish a parameter count for Claude Opus 4.7.
claude-mythos-preview,anthropic,Claude Mythos Preview|claude mythos|mythos|mythos preview,2600,2600,estimated,low,Project frontier proxy for the Claude Mythos preview line,https://www.anthropic.com/project/glasswing,Restricted-preview research row retained for frontier benchmarking; public documentation remains limited and Anthropic does not publish a parameter count.
gemini-3-pro,google,Gemini 3 Pro|gemini 3 pro|gemini3pro,220,220,estimated,low,Project screening family proxy for Gemini 3 Pro,https://blog.google/products-and-platforms/products/gemini/gemini-3/,Family proxy retained because Google documents Gemini 3 Pro capabilities but not the parameter count.
gemini-3-flash,google,Gemini 3 Flash|gemini 3 flash|gemini3flash,100,100,estimated,low,Project screening family proxy for Gemini 3 Flash,https://deepmind.google/models/gemini/flash/,Family proxy retained because Google documents Gemini 3 Flash capabilities but not the parameter count.
gemini-3.1-pro,google,Gemini 3.1 Pro|gemini 3.1 pro|gemini31pro,240,240,estimated,low,Project screening family proxy for Gemini 3.1 Pro,https://deepmind.google/models/gemini/pro/,Family proxy retained because Google documents Gemini 3.1 Pro capabilities but not the parameter count.
gemini-3.1-flash-lite,google,Gemini 3.1 Flash-Lite|gemini 3.1 flash lite|gemini31flashlite,40,40,estimated,low,Project screening family proxy for Gemini 3.1 Flash-Lite,https://deepmind.google/models/gemini/flash/,Family proxy retained because Google documents Gemini 3.1 Flash-Lite capabilities but not the parameter count.
grok-4.20-reasoning,xai,Grok 4.20 Reasoning|grok 4.20 reasoning|grok420reasoning,650,650,estimated,low,Project screening family proxy for the Grok 4.20 reasoning tier,https://docs.x.ai/docs/release-notes,Family proxy retained because xAI documents model availability and limits but not a parameter count for Grok 4.20 Reasoning.
grok-4.20-non-reasoning,xai,Grok 4.20|grok 4.20|grok420,650,650,estimated,low,Project screening family proxy for the Grok 4.20 general tier,https://docs.x.ai/docs/release-notes,Family proxy retained because xAI documents model availability and limits but not a parameter count for Grok 4.20.
grok-4.1-fast-reasoning,xai,Grok 4.1 Fast Reasoning|grok 4.1 fast reasoning|grok41fastreasoning,120,120,estimated,low,Project screening family proxy for Grok 4.1 Fast,https://docs.x.ai/docs/release-notes,Smaller family proxy retained because xAI documents Grok 4.1 Fast capabilities but not the parameter count.
grok-4.1-fast-non-reasoning,xai,Grok 4.1 Fast|grok 4.1 fast|grok41fast,120,120,estimated,low,Project screening family proxy for Grok 4.1 Fast,https://docs.x.ai/docs/release-notes,Smaller family proxy retained because xAI documents Grok 4.1 Fast capabilities but not the parameter count.
deepseek-v4-pro,deepseek,DeepSeek V4 Pro|deepseek v4 pro|deepseekv4pro,49,1600,observed,high,DeepSeek V4 Pro official release note,https://api-docs.deepseek.com/news/news260424,Official release note reports 1.6T total parameters and 49B active parameters.
deepseek-v4-flash,deepseek,DeepSeek V4 Flash|deepseek v4 flash|deepseekv4flash,13,284,observed,high,DeepSeek V4 Flash official release note,https://api-docs.deepseek.com/news/news260424,Official release note reports 284B total parameters and 13B active parameters.
mistral-large-3,mistral,Mistral Large 3|mistral large 3|mistrallarge3,41,675,observed,high,Mistral Large 3 model documentation,https://docs.mistral.ai/models/mistral-large-3-25-12,Official documentation reports 675B total parameters and 41B active parameters.
mistral-medium-3.5,mistral,Mistral Medium 3.5|mistral medium 3.5|mistralmedium35,128,128,estimated,low,Artificial Analysis estimate for Mistral Medium 3.5 (~128B),https://artificialanalysis.ai/models,"Third-party proxy retained because Mistral documents the product tier and open-weight release, but not a parameter count for Medium 3.5."
mistral-small-4,mistral,Mistral Small 4|mistral small 4|mistralsmall4,6.5,119,observed,high,Mistral Small 4 model documentation,https://docs.mistral.ai/models/mistral-small-4-0-26-03,Official documentation reports 119B total parameters and 6.5B active parameters.
devstral-2,mistral,Devstral 2|devstral 2|devstral2,123,123,observed,high,Devstral 2 model documentation,https://docs.mistral.ai/models/devstral-2-25-12,Official documentation reports a 123B-parameter coding model.
ministral-3-14b,mistral,Ministral 3 14B|ministral 3 14b|ministral314b,14,14,observed,high,Ministral 3 14B model documentation,https://docs.mistral.ai/models/ministral-3-14b-25-12,Official documentation reports a 14B multimodal edge model.
llama-4-scout,meta,Llama 4 Scout|llama 4 scout|llama4scout,17,109,observed,high,Llama 4 Scout model card,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct,Open-weight multimodal model; deployment impact depends on hosting location.
llama-4-maverick,meta,Llama 4 Maverick|llama 4 maverick|llama4maverick,17,400,observed,high,Llama 4 Maverick model card,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,Open-weight multimodal model; deployment impact depends on hosting location.
qwen3-32b,alibaba,Qwen3 32B|qwen 3 32b|qwen332b,32.8,32.8,observed,high,Qwen3 32B release repository,https://huggingface.co/Qwen/Qwen3-32B,Open-weight model; deployment impact depends on hosting location.
qwen3-235b-a22b,alibaba,Qwen3 235B A22B|qwen 3 235b a22b|qwen3235ba22b,22,235,observed,high,Qwen3 235B A22B release repository,https://huggingface.co/Qwen/Qwen3-235B-A22B,Open-weight model; deployment impact depends on hosting location.
grok-4.3,xai,Grok 4.3|grok 4.3|grok43,650,650,estimated,low,Project screening family proxy for Grok 4.3,https://docs.x.ai/developers/models,"Current xAI models overview exposes Grok 4.3 as the recommended flagship chat model; xAI does not publish a parameter count, so the Grok 4.20 family proxy is retained. The dated catalog entry uses the models-page update date."
