record_id,unit_of_analysis,source_type,uncertainty_level,raw_or_derived,applicability_domain
lbl2025_us_dc_2023,year,report,medium,raw,US data centers annual electricity
lbl2025_us_dc_2028_low,year,report,high,raw,US data centers annual electricity projection low
lbl2025_us_dc_2028_high,year,report,high,raw,US data centers annual electricity projection high
lbl2025_us_share_2023,year,report,medium,raw,US data centers share of national electricity
lbl2025_us_share_2028_low,year,report,high,raw,US data centers share of national electricity projection low
lbl2025_us_share_2028_high,year,report,high,raw,US data centers share of national electricity projection high
iea2025_global_dc_2024,year,report,medium,raw,global data centers annual electricity
iea2025_global_dc_2030,year,report,high,raw,global data centers annual electricity central projection
iea2025_growth,year,report,high,raw,global data centers annual growth projection
devriesgao2025_ai_power_low,year,article,high,raw,global AI systems power lower estimate
devriesgao2025_ai_power_high,year,article,high,raw,global AI systems power higher estimate
devriesgao2025_ai_power_end_2025,year,article,high,raw,global AI systems power end-of-year level
devriesgao2025_ai_energy_low,year,article,high,derived,annualized energy derived from 5.3 GW
devriesgao2025_ai_energy_high,year,article,high,derived,annualized energy derived from 9.4 GW
devriesgao2025_ai_energy_end_2025,year,article,high,derived,annualized energy derived from 23 GW
