record_id,study_key,citation,publication_year,phase,impact_category,metric_name,metric_value,metric_unit,model_or_scope,geography,llm_normalized,model_parameters_normalized,country_normalized,time_scope,system_boundary,data_type,source_locator,source_url,notes
elsworth2025_accelerator_energy,elsworth2025,Elsworth et al. (2025),2025,inference,energy,energy_component,0.14,Wh/prompt,Accelerator active share,Google production,Gemini Apps (version non spécifiée),180B,Non spécifié,current production,comprehensive method,measured,"Section 4.2, p. 7",https://arxiv.org/abs/2508.15734,Energy decomposition on Gemini Apps; model version not disclosed
elsworth2025_cpu_dram_energy,elsworth2025,Elsworth et al. (2025),2025,inference,energy,energy_component,0.06,Wh/prompt,CPU plus DRAM share,Google production,Gemini Apps (version non spécifiée),180B,Non spécifié,current production,comprehensive method,measured,"Section 4.2, p. 7",https://arxiv.org/abs/2508.15734,Energy decomposition on Gemini Apps; model version not disclosed
elsworth2025_idle_energy,elsworth2025,Elsworth et al. (2025),2025,inference,energy,energy_component,0.02,Wh/prompt,Provisioned idle machines share,Google production,Gemini Apps (version non spécifiée),180B,Non spécifié,current production,comprehensive method,measured,"Section 4.2, p. 7",https://arxiv.org/abs/2508.15734,Energy decomposition on Gemini Apps; model version not disclosed
elsworth2025_datacenter_overhead,elsworth2025,Elsworth et al. (2025),2025,inference,energy,energy_component,0.02,Wh/prompt,Datacenter overhead share,Google production,Gemini Apps (version non spécifiée),180B,Non spécifié,current production,comprehensive method,measured,"Section 4.2, p. 7",https://arxiv.org/abs/2508.15734,Energy decomposition on Gemini Apps; model version not disclosed
ren2024_llama70b_energy,ren2024,Ren et al. (2024),2024,inference,energy,page_generation_energy,0.0195,kWh/page,"Llama-3-70B, 500-word page",US efficient datacenter,Llama 3 70B,70B,États-Unis,inference comparison,comparative life-cycle framing,calculated,"Results section, Llama-3-70B paragraphs",https://www.nature.com/articles/s41598-024-76682-6,500-word page
ren2024_llama70b_carbon,ren2024,Ren et al. (2024),2024,inference,carbon,page_generation_emissions,15,gCO2/page,"Llama-3-70B, 500-word page",US efficient datacenter,Llama 3 70B,70B,États-Unis,inference comparison,comparative life-cycle framing,calculated,"Results section, Llama-3-70B paragraphs",https://www.nature.com/articles/s41598-024-76682-6,500-word page
ren2024_llama70b_water,ren2024,Ren et al. (2024),2024,inference,water,page_generation_water,0.14,L/page,"Llama-3-70B, 500-word page",US efficient datacenter,Llama 3 70B,70B,États-Unis,inference comparison,comparative life-cycle framing,calculated,"Results section, Llama-3-70B paragraphs",https://www.nature.com/articles/s41598-024-76682-6,500-word page
ren2024_gemma2b_energy,ren2024,Ren et al. (2024),2024,inference,energy,page_generation_energy,0.00024,kWh/page,"Gemma-2B-it, 500-word page",US efficient datacenter,Gemma-2B-it,2B,États-Unis,inference comparison,comparative life-cycle framing,calculated,"Results section, Gemma-2B-it paragraphs",https://www.nature.com/articles/s41598-024-76682-6,500-word page
ren2024_gemma2b_carbon,ren2024,Ren et al. (2024),2024,inference,carbon,page_generation_emissions,0.18,gCO2/page,"Gemma-2B-it, 500-word page",US efficient datacenter,Gemma-2B-it,2B,États-Unis,inference comparison,comparative life-cycle framing,calculated,"Results section, Gemma-2B-it paragraphs",https://www.nature.com/articles/s41598-024-76682-6,500-word page
ren2024_gemma2b_water,ren2024,Ren et al. (2024),2024,inference,water,page_generation_water,0.0017,L/page,"Gemma-2B-it, 500-word page",US efficient datacenter,Gemma-2B-it,2B,États-Unis,inference comparison,comparative life-cycle framing,calculated,"Results section, Gemma-2B-it paragraphs",https://www.nature.com/articles/s41598-024-76682-6,500-word page
li2025_gpt3_total_water,li2025water,Li et al. (2025),2025,lifecycle,water,training_water_total,5.4,million liters,GPT-3 training,US Microsoft datacenters,GPT-3,175B,États-Unis,training footprint,total water including indirect,calculated,Opening paragraph,https://cacm.acm.org/research/making-ai-less-thirsty/,CACM version
li2025_gpt3_onsite_water,li2025water,Li et al. (2025),2025,lifecycle,water,training_water_onsite,700000,L,GPT-3 training,US Microsoft datacenters,GPT-3,175B,États-Unis,training footprint,onsite Scope 1 water,calculated,Opening paragraph,https://cacm.acm.org/research/making-ai-less-thirsty/,CACM version
li2025_chatbot_water,li2025water,Li et al. (2025),2025,inference,water,response_water_equivalent,500,mL for 10-50 responses,Generative chatbot average responses,location- and timing-dependent,n.d.,n.d.,Variable selon le lieu,usage example,direct plus indirect water framing,calculated,Opening paragraph,https://cacm.acm.org/research/making-ai-less-thirsty/,Equivalent framing
lbl2025_us_dc_2014,lbl2025,Berkeley Lab (2025),2025,infrastructure,energy,annual_electricity,58,TWh,US data centers,United States,n.d.,n.d.,États-Unis,2014,infrastructure total,statistical,Report summary bullet on total data center electricity usage,https://newscenter.lbl.gov/2025/01/15/berkeley-lab-report-evaluates-increase-in-electricity-demand-from-data-centers/,Summary of 2024 report
lbl2025_us_dc_2023,lbl2025,Berkeley Lab (2025),2025,infrastructure,energy,annual_electricity,176,TWh,US data centers,United States,n.d.,n.d.,États-Unis,2023,infrastructure total,statistical,Report summary bullet on total data center electricity usage,https://newscenter.lbl.gov/2025/01/15/berkeley-lab-report-evaluates-increase-in-electricity-demand-from-data-centers/,Summary of 2024 report
lbl2025_us_dc_2028_low,lbl2025,Berkeley Lab (2025),2025,infrastructure,energy,annual_electricity,325,TWh,US data centers,United States,n.d.,n.d.,États-Unis,2028 projection low,infrastructure total,projected,Report summary bullet on total data center electricity usage,https://newscenter.lbl.gov/2025/01/15/berkeley-lab-report-evaluates-increase-in-electricity-demand-from-data-centers/,Low projection
lbl2025_us_dc_2028_high,lbl2025,Berkeley Lab (2025),2025,infrastructure,energy,annual_electricity,580,TWh,US data centers,United States,n.d.,n.d.,États-Unis,2028 projection high,infrastructure total,projected,Report summary bullet on total data center electricity usage,https://newscenter.lbl.gov/2025/01/15/berkeley-lab-report-evaluates-increase-in-electricity-demand-from-data-centers/,High projection
lbl2025_us_share_2023,lbl2025,Berkeley Lab (2025),2025,infrastructure,energy,electricity_share,4.4,percent,US data centers share of national electricity,United States,n.d.,n.d.,États-Unis,2023,infrastructure total,statistical,Same summary bullet,https://newscenter.lbl.gov/2025/01/15/berkeley-lab-report-evaluates-increase-in-electricity-demand-from-data-centers/,National share
lbl2025_us_share_2028_low,lbl2025,Berkeley Lab (2025),2025,infrastructure,energy,electricity_share,6.7,percent,US data centers share of national electricity,United States,n.d.,n.d.,États-Unis,2028 projection low,infrastructure total,projected,Same summary bullet,https://newscenter.lbl.gov/2025/01/15/berkeley-lab-report-evaluates-increase-in-electricity-demand-from-data-centers/,National share
lbl2025_us_share_2028_high,lbl2025,Berkeley Lab (2025),2025,infrastructure,energy,electricity_share,12,percent,US data centers share of national electricity,United States,n.d.,n.d.,États-Unis,2028 projection high,infrastructure total,projected,Same summary bullet,https://newscenter.lbl.gov/2025/01/15/berkeley-lab-report-evaluates-increase-in-electricity-demand-from-data-centers/,National share
iea2025_global_dc_2024,iea2025,IEA (2025) Energy and AI,2025,infrastructure,energy,annual_electricity,415,TWh,Global data centers,Global,n.d.,n.d.,Global,2024,infrastructure total,statistical,"Page 'Energy demand from AI', paragraph 'The outlook for energy demand from data centres'",https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,Global annual electricity
iea2025_global_dc_2030,iea2025,IEA (2025) Energy and AI,2025,infrastructure,energy,annual_electricity,945,TWh,Global data centers,Global,n.d.,n.d.,Global,2030 central scenario,infrastructure total,projected,"Page 'Energy demand from AI', paragraph 'The outlook for energy demand from data centres'",https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,Central scenario
iea2025_growth,iea2025,IEA (2025) Energy and AI,2025,infrastructure,energy,annual_growth_rate,15,percent per year,Global data centers,Global,n.d.,n.d.,Global,2024-2030,infrastructure total,projected,Same paragraph,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,Approximate annual growth
devriesgao2025_ai_power_low,devriesgao2025joule,de Vries-Gao (2025),2025,infrastructure,energy,ai_power_demand,5.3,GW,AI systems worldwide,Global,n.d.,n.d.,Global,2025 lower estimate,"AI systems, not LLMs only",modeled,Joule discussion as cited in manuscript,https://www.cell.com/joule/fulltext/S2542-4351(25)00142-4,Annual 2025 lower bound
devriesgao2025_ai_power_high,devriesgao2025joule,de Vries-Gao (2025),2025,infrastructure,energy,ai_power_demand,9.4,GW,AI systems worldwide,Global,n.d.,n.d.,Global,2025 higher estimate,"AI systems, not LLMs only",modeled,Joule discussion as cited in manuscript,https://www.cell.com/joule/fulltext/S2542-4351(25)00142-4,Annual 2025 higher bound
devriesgao2025_ai_power_end_2025,devriesgao2025joule,de Vries-Gao (2025),2025,infrastructure,energy,ai_power_demand,23,GW,AI systems worldwide,Global,n.d.,n.d.,Global,end of 2025 annualized level,"AI systems, not LLMs only",modeled,Joule discussion as cited in manuscript,https://www.cell.com/joule/fulltext/S2542-4351(25)00142-4,End-2025 level
devriesgao2025_ai_energy_low,devriesgao2025joule,de Vries-Gao (2025),2025,infrastructure,energy,annualized_energy,46.4,TWh/year,AI systems worldwide,Global,n.d.,n.d.,Global,2025 lower estimate,Converted from published power,calculated,Converted from 5.3 GW using 8.76 TWh per GW-year,https://www.cell.com/joule/fulltext/S2542-4351(25)00142-4,Derived value for annual synthesis
