model_id,display_name,provider,parameter_value_billion,parameter_value_status,parameter_source_audit,parameter_source_audit_note,parameter_source,parameter_source_url
grok-4.20-reasoning,Grok 4.20 Reasoning,xai,650,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for the Grok 4.20 reasoning tier,
grok-4.20-non-reasoning,Grok 4.20,xai,650,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for the Grok 4.20 general tier,
grok-4.1-fast-reasoning,Grok 4.1 Fast Reasoning,xai,120,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for Grok 4.1 Fast,
grok-4.1-fast-non-reasoning,Grok 4.1 Fast,xai,120,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for Grok 4.1 Fast,
deepseek-v4-pro,DeepSeek V4 Pro,deepseek,1600,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,DeepSeek V4 Pro official release note,https://api-docs.deepseek.com/news/news260424
deepseek-v4-flash,DeepSeek V4 Flash,deepseek,284,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,DeepSeek V4 Flash official release note,https://api-docs.deepseek.com/news/news260424
mistral-large-3,Mistral Large 3,mistral,675,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Mistral Large 3 model documentation,https://docs.mistral.ai/models/mistral-large-3-25-12
mistral-medium-3.5,Mistral Medium 3.5,mistral,128,estimated,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",Third-party screening estimate from Artificial Analysis,https://artificialanalysis.ai/models
mistral-small-4,Mistral Small 4,mistral,119,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Mistral Small 4 model documentation,https://docs.mistral.ai/models/mistral-small-4-0-26-03
devstral-2,Devstral 2,mistral,123,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Devstral 2 model documentation,https://docs.mistral.ai/models/devstral-2-25-12
ministral-3-14b,Ministral 3 14B,mistral,14,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Ministral 3 14B model documentation,https://docs.mistral.ai/models/ministral-3-14b-25-12
llama-4-scout,Llama 4 Scout,meta,109,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Llama 4 Scout model card,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct
llama-4-maverick,Llama 4 Maverick,meta,400,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Llama 4 Maverick model card,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct
qwen3-32b,Qwen3 32B,alibaba,32.8,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Qwen3 32B release repository,https://huggingface.co/Qwen/Qwen3-32B
qwen3-235b-a22b,Qwen3 235B A22B,alibaba,235,observed,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,Qwen3 235B A22B release repository,https://huggingface.co/Qwen/Qwen3-235B-A22B
grok-4.3,Grok 4.3,xai,650,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy for Grok 4.3,
gemini-3.1-flash-live,Gemini 3.1 Flash Live Preview,google,100,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening Flash-family proxy for Gemini 3.1 Flash Live Preview,
gemini-3.1-flash-tts,Gemini 3.1 Flash TTS Preview,google,40,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening Flash-Lite-family proxy for Gemini 3.1 Flash TTS Preview,
gpt-4o,GPT-4o,openai,880,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy anchored to the GPT-4o release line,
o1-preview,o1-preview,openai,300,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening reasoning-family proxy anchored to the o1-preview release line,
o1-mini,o1-mini,openai,95,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening small reasoning-family proxy anchored to the o1-mini release line,
o1,o1,openai,320,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening reasoning-family proxy anchored to the o1 release line,
claude-3-opus,Claude 3 Opus,anthropic,260,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening large-model proxy anchored to the Claude 3 family release line,
claude-3-sonnet,Claude 3 Sonnet,anthropic,120,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening medium-size proxy anchored to the Claude 3 family release line,
claude-3-haiku,Claude 3 Haiku,anthropic,22,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening small-model proxy anchored to the Claude 3 family release line,
gemini-1.5-pro,Gemini 1.5 Pro,google,120,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening mid-size proxy anchored to the Gemini 1.5 Pro release line,
gemini-1.5-flash,Gemini 1.5 Flash,google,60,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening fast-model proxy anchored to the Gemini 1.5 Flash release line,
grok-1.5,Grok 1.5,xai,90,estimated,project_proxy_no_url,The retained parameter value is an explicit project screening proxy with no literal parameter-source URL attached.,Project screening family proxy anchored to the Grok-1.5 release line,
