model_id,display_name,provider,training_parameters_billion,training_parameters_audit,training_parameters_note,training_parameters_source_url,training_tokens_trillion,training_tokens_audit,training_tokens_note,training_tokens_source_url,training_regime,training_regime_audit,training_regime_note,training_regime_source_url,training_multimodal,training_multimodal_audit,training_multimodal_note,training_multimodal_source_url,training_hardware_class_proxy,training_hardware_audit,training_hardware_note,training_hardware_source_url,overall_audit_status,issue_fields,issue_count
grok-4,Grok 4,xai,600,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://lifearchitect.ai/models-table/,12.0000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.x.ai/developers/models,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
llama-3.1-8b,Llama 3.1 8B,meta,8,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_1/,0.1600,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
llama-3.1-70b,Llama 3.1 70B,meta,70,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_1/,1.4000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
llama-3.1-405b,Llama 3.1 405B,meta,405,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_1/,8.1000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
ministral-3b,Ministral 3B,mistral,3,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://docs.mistral.ai/getting-started/models/models_overview/,0.0600,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.mistral.ai/models/ministral-3b-24-1,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
ministral-8b,Ministral 8B,mistral,8,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://docs.mistral.ai/getting-started/models/models_overview/,0.1600,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.mistral.ai/models/ministral-8b-24-1,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
mistral-large,Mistral Large,mistral,123,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://mistral.ai/news/mistral-large-2407/,2.4600,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.mistral.ai/models/mistral-large-2-1-24-11,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
mistral-small-3.1-24b,Mistral Small 3.1 24B,mistral,24,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://docs.mistral.ai/getting-started/models/models_overview/,0.4800,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.mistral.ai/models/mistral-small-3-1-25-03,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
codestral-22b,Codestral 22B,mistral,22,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://docs.mistral.ai/getting-started/models/models_overview/,0.4400,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.mistral.ai/models/codestral-24-05,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
qwen2.5-7b,Qwen2.5 7B,alibaba,7,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,0.1400,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
qwen2.5-32b,Qwen2.5 32B,alibaba,32,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,0.6400,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
qwen2.5-72b,Qwen2.5 72B,alibaba,72,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,1.4400,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
deepseek-v3,DeepSeek V3,deepseek,671,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://huggingface.co/deepseek-ai/DeepSeek-V3,13.4200,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://github.com/deepseek-ai/DeepSeek-V3,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
deepseek-r1,DeepSeek R1,deepseek,671,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://huggingface.co/deepseek-ai/DeepSeek-R1,13.4200,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://huggingface.co/deepseek-ai/DeepSeek-R1,mixed_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gpt-3.5-turbo,GPT-3.5 Turbo,openai,175,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://nexos.ai/blog/chatgpt-version-history/,3.5000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_with_anchor,The retained training regime is a project prior; the cited page only anchors the model family or related release context.,https://openai.com/blog/chatgpt,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://openai.com/blog/chatgpt,standard_gpu_cluster,project_proxy_with_anchor,"The retained hardware class is a project proxy; the cited source provides provider infrastructure context, not a literal hardware-class label from the provider.",https://openai.com/blog/chatgpt,mixed_documented_and_proxy,,0
gpt-4,GPT-4,openai,1760,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://explodingtopics.com/blog/gpt-parameters,6.0000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,directly_supported,The cited source should directly support the retained training-regime label.,https://cdn.openai.com/papers/gpt-4.pdf,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://openai.com/research/gpt-4,modern_hyperscale_gpu,project_proxy_with_anchor,"The retained hardware class is a project proxy; the cited source provides provider infrastructure context, not a literal hardware-class label from the provider.",https://openai.com/research/gpt-4,mixed_documented_and_proxy,,0
claude-2,Claude 2,anthropic,100,third_party_estimate,"The retained parameter value is estimated from a third-party taxonomy or report, not from the provider's own model page.",https://lifearchitect.ai/models-table/,2.0000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_with_anchor,The retained training regime is a project prior; the cited page only anchors the model family or related release context.,https://www.anthropic.com/news/claude-2,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.anthropic.com/en/docs/about-claude/models/overview,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
grok-1,Grok 1,xai,314,derivable_from_cited_source,The cited xAI post publishes 314B total parameters and says 25% of weights are active per token; the retained 78.5B active value is derived from that ratio.,https://x.ai/blog/grok-os,6.2800,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,directly_supported,The cited source should directly support the retained training-regime label.,https://x.ai/blog/grok-os,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.x.ai/developers/models,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
grok-2,Grok 2,xai,270,official_anchor_not_literal,"The provider page anchors the release line, while the numeric parameter count is retained by the project because no exact provider figure is published.",https://huggingface.co/xai-org/grok-2/discussions/24,5.4000,project_prior_no_url,The value is a project screening prior with no external source URL attached.,,pretraining,project_prior_with_anchor,The retained training regime is a project prior; the cited page only anchors the model family or related release context.,https://x.ai/news/grok-2/,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://docs.x.ai/developers/models,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
megatron-turing-nlg,Megatron-Turing NLG 530B,microsoft,530,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://www.microsoft.com/en-us/ai/ai-lab-mt-nlg,20,project_prior_with_anchor,The value is marked as a screening prior; the cited page serves as contextual anchoring rather than a literal token-count source.,https://azure.microsoft.com/blog/introducing-megatron-turing-nlg/,pretraining,project_prior_with_anchor,The retained training regime is a project prior; the cited page only anchors the model family or related release context.,https://azure.microsoft.com/blog/introducing-megatron-turing-nlg/,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://azure.microsoft.com/blog/introducing-megatron-turing-nlg/,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
jurassic-1-jumbo,Jurassic-1 Jumbo,ai21,178,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://www.ai21.com/blog/jurassic-1,5,project_prior_with_anchor,The value is marked as a screening prior; the cited page serves as contextual anchoring rather than a literal token-count source.,https://www.ai21.com/blog/jurassic-1,pretraining,project_prior_with_anchor,The retained training regime is a project prior; the cited page only anchors the model family or related release context.,https://www.ai21.com/blog/jurassic-1,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://www.ai21.com/blog/jurassic-1,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gopher-280b,Gopher 280B,deepmind,280,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://deepmind.com/blog/article/scaling-language-models-gopher,6,project_prior_with_anchor,The value is marked as a screening prior; the cited page serves as contextual anchoring rather than a literal token-count source.,https://deepmind.com/blog/article/scaling-language-models-gopher,pretraining,project_prior_with_anchor,The retained training regime is a project prior; the cited page only anchors the model family or related release context.,https://deepmind.com/blog/article/scaling-language-models-gopher,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://deepmind.com/blog/article/scaling-language-models-gopher,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
glam-130b,GLaM 130B,google,130,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://ai.googleblog.com/2021/02/glam-sparsely-gated-mixture-of-experts.html,4,project_prior_with_anchor,The value is marked as a screening prior; the cited page serves as contextual anchoring rather than a literal token-count source.,https://ai.googleblog.com/2021/02/glam-sparsely-gated-mixture-of-experts.html,pretraining,project_prior_with_anchor,The retained training regime is a project prior; the cited page only anchors the model family or related release context.,https://ai.googleblog.com/2021/02/glam-sparsely-gated-mixture-of-experts.html,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://ai.googleblog.com/2021/02/glam-sparsely-gated-mixture-of-experts.html,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
lamda-1,LaMDA 1,google,137,estimated_other,The retained parameter value is estimated and should be treated as non-literal unless independently re-verified.,https://blog.google/technology/ai/lamda/,3,project_prior_with_anchor,The value is marked as a screening prior; the cited page serves as contextual anchoring rather than a literal token-count source.,https://blog.google/technology/ai/lamda/,pretraining,project_prior_with_anchor,The retained training regime is a project prior; the cited page only anchors the model family or related release context.,https://blog.google/technology/ai/lamda/,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://blog.google/technology/ai/lamda/,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
opt-175b,OPT 175B,meta,175,exact_in_cited_source,The catalog marks this parameter value as observed/documented and points to a source expected to publish it directly.,https://ai.facebook.com/blog/opt/,4,project_prior_with_anchor,The value is marked as a screening prior; the cited page serves as contextual anchoring rather than a literal token-count source.,https://ai.facebook.com/blog/opt/,pretraining,project_prior_with_anchor,The retained training regime is a project prior; the cited page only anchors the model family or related release context.,https://ai.facebook.com/blog/opt/,no,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://ai.facebook.com/blog/opt/,standard_gpu_cluster,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
gpt-5.4,GPT-5.4,openai,1800,project_proxy_anchored_to_release,"The cited provider page anchors the model family or release line, but not a literal published parameter count.",https://openai.com/index/introducing-gpt-5-4/,36.0000,project_prior_chinchilla,"The value is a project screening prior aligned with Chinchilla-style compute-optimal scaling, not a provider-published token count.",https://arxiv.org/abs/2203.15556,pretraining,project_prior_no_url,The retained training regime is a project prior with no attached URL.,,yes,capability_anchor,The cited model page is used as the capability anchor for the retained multimodal yes/no flag.,https://developers.openai.com/api/docs/models/gpt-5.4,modern_hyperscale_gpu,project_proxy_no_url,"The hardware class is a project proxy retained from market status and serving mode, with no model-specific source URL.",,mixed_documented_and_proxy,,0
