model_id,display_name,provider,active_parameters_billion,review_level,review_class,donor_count,cross_provider,donor_models,donor_providers,quantification_note
grok-4.20-non-reasoning,Grok 4.20,xai,600,medium,single_donor_family_prior,1,no,grok-4,xai,Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented family/tier. Donors: Grok 4 (600B). Retained central active-parameter basis: 600B (low/high prior: 420B - 780B). Central prior floored to the largest same-family frontier donor because the target is a later revision in the same provider family with no direct public parameter disclosure.
grok-4.1-fast-reasoning,Grok 4.1 Fast Reasoning,xai,96.75,low,same_provider_size_tier_prior,2,no,grok-2|grok-1,xai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented size tier. Donors: Grok 2 (115B), Grok 1 (78.5B). Retained central active-parameter basis: 96.8B (low/high prior: 66.7B - 132.2B)."
grok-4.1-fast-non-reasoning,Grok 4.1 Fast,xai,96.75,low,same_provider_size_tier_prior,2,no,grok-2|grok-1,xai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented size tier. Donors: Grok 2 (115B), Grok 1 (78.5B). Retained central active-parameter basis: 96.8B (low/high prior: 66.7B - 132.2B)."
grok-4.3,Grok 4.3,xai,4000,high,cross_provider_fallback,3,yes,grok-4|claude-opus-4.6|claude-opus-4.7,anthropic|xai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider when available, then same documented size tier across the strict catalog. Donors: Grok 4 (600B), Claude Opus 4.6 (5000B), Claude Opus 4.7 (4000B). Retained central active-parameter basis: 4000B (low/high prior: 510B - 5750B)."
gemini-3.1-flash-live,Gemini 3.1 Flash Live Preview,google,30,medium,single_donor_family_prior,1,no,gemini-2.0-flash,google,Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented family/tier. Donors: Gemini 2.0 Flash (30B). Retained central active-parameter basis: 30B (low/high prior: 21B - 39B).
gemini-3.1-flash-tts,Gemini 3.1 Flash TTS Preview,google,22,high,cross_provider_fallback,1,yes,claude-3.5-haiku,anthropic,Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same documented size tier across the strict catalog. Donors: Claude 3.5 Haiku (22B). Retained central active-parameter basis: 22B (low/high prior: 15.4B - 28.6B).
o1-preview,o1-preview,openai,320,low,same_provider_size_tier_prior,2,no,gpt-4o|gpt-4,openai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented size tier. Donors: GPT-4o (200B), GPT-4 (440B). Retained central active-parameter basis: 320B (low/high prior: 170B - 506B)."
o1-mini,o1-mini,openai,200,medium,same_provider_fallback,3,no,gpt-3.5-turbo|gpt-4o|gpt-4,openai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider in the strict catalog. Donors: GPT-3.5 Turbo (175B), GPT-4o (200B), GPT-4 (440B). Retained central active-parameter basis: 200B (low/high prior: 148.8B - 506B)."
o1,o1,openai,320,low,same_provider_size_tier_prior,2,no,gpt-4|gpt-4o,openai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented size tier. Donors: GPT-4 (440B), GPT-4o (200B). Retained central active-parameter basis: 320B (low/high prior: 170B - 506B)."
claude-3-opus,Claude 3 Opus,anthropic,100,medium,same_provider_fallback,1,no,claude-2,anthropic,Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider in the strict catalog. Donors: Claude 2 (100B). Retained central active-parameter basis: 100B (low/high prior: 70B - 130B).
claude-3-sonnet,Claude 3 Sonnet,anthropic,100,high,cross_provider_fallback,3,yes,claude-2|grok-1|gpt-3.5-turbo,anthropic|openai|xai,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider when available, then same documented size tier across the strict catalog. Donors: Claude 2 (100B), Grok 1 (78.5B), GPT-3.5 Turbo (175B). Retained central active-parameter basis: 100B (low/high prior: 66.7B - 201.2B)."
claude-3-haiku,Claude 3 Haiku,anthropic,100,medium,same_provider_fallback,1,no,claude-2,anthropic,Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider in the strict catalog. Donors: Claude 2 (100B). Retained central active-parameter basis: 100B (low/high prior: 70B - 130B).
gemini-1.5-pro,Gemini 1.5 Pro,google,133.5,medium,same_provider_fallback,2,no,lamda-1|glam-130b,google,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider in the strict catalog. Donors: LaMDA 1 (137B), GLaM 130B (130B). Retained central active-parameter basis: 133.5B (low/high prior: 110.5B - 157.6B)."
gemini-1.5-flash,Gemini 1.5 Flash,google,133.5,low,same_provider_size_tier_prior,2,no,lamda-1|glam-130b,google,"Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider and same documented size tier. Donors: LaMDA 1 (137B), GLaM 130B (130B). Retained central active-parameter basis: 133.5B (low/high prior: 110.5B - 157.6B)."
grok-1.5,Grok 1.5,xai,78.5,medium,same_provider_fallback,1,no,grok-1,xai,Partial-data prior derived from benchmark-ready donor models with source-linked parameter counts. Selection rule: same provider in the strict catalog. Donors: Grok 1 (78.5B). Retained central active-parameter basis: 78.5B (low/high prior: 55B - 102B).
