model_id,display_name,provider,market_status,serving_mode,server_country,server_country_status,server_country_source,server_country_source_url,estimation_country_code,estimation_country_status,estimation_country_source,estimation_country_source_url,active_parameters_billion,total_parameters_billion,parameter_value_status,parameter_confidence,parameter_source,parameter_source_url,notes,input_modalities,output_modalities,context_window_tokens,max_output_tokens,vision_support,architecture_notes,modalities_source,modalities_source_url,context_source,context_source_url,architecture_source,architecture_source_url
claude-3.7-sonnet,Claude 3.7 Sonnet,anthropic,api,closed,Not publicly specified,non_specified,Anthropic models overview,https://docs.anthropic.com/en/docs/about-claude/models/overview,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,175,175,estimated,low,Alan D. Thompson Models Table estimate for Claude 3.7 Sonnet (175B),https://lifearchitect.ai/models-table/,Third-party estimate; Anthropic does not publish model size.,"text,image",text,200000,64000,yes,Closed model; Anthropic documents multimodal support and token limits but does not publish architecture details or parameter count.,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview
claude-3.5-haiku,Claude 3.5 Haiku,anthropic,api,closed,Not publicly specified,non_specified,Anthropic models overview,https://docs.anthropic.com/en/docs/about-claude/models/overview,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,22,22,estimated,low,Artificial Analysis size taxonomy for proprietary/open-weight classes; small class midpoint (4B–40B) used as screening estimate,https://artificialanalysis.ai/models/claude-3-5-haiku,Derived midpoint estimate because Anthropic does not publish the parameter count and no more specific external estimate was found.,"text,image",text,200000,8192,yes,Closed model; Anthropic documents multimodal support and token limits but does not publish architecture details or parameter count.,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview,Models overview - Claude API Docs,https://platform.claude.com/docs/en/about-claude/models/overview
gemini-2.5-pro,Gemini 2.5 Pro,google,api,closed,Global multi-region,multi_region,Gemini API model documentation,https://ai.google.dev/gemini-api/docs/models,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,200,200,estimated,low,Alan D. Thompson Models Table estimate for Gemini 2.5 Pro (200B),https://lifearchitect.ai/models-table/,Third-party estimate; Google does not publish a parameter count for Gemini 2.5 Pro.,"text,image,audio,video,pdf",text,1048576,65536,yes,Closed multimodal model; Google documents token limits and modalities but not architecture details or parameter count.,Gemini models | Gemini API,https://ai.google.dev/gemini-api/docs/models,Gemini models | Gemini API,https://ai.google.dev/gemini-api/docs/models,Gemini models | Gemini API,https://ai.google.dev/gemini-api/docs/models
gemini-2.5-flash,Gemini 2.5 Flash,google,api,closed,Global multi-region,multi_region,Gemini API model documentation,https://ai.google.dev/gemini-api/docs/models,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,80,80,estimated,low,Alan D. Thompson Models Table estimate for Gemini 2.5 Flash Preview (80B),https://lifearchitect.ai/models-table/,Family proxy used from the closest published Gemini 2.5 Flash estimate.,"text,image,audio,video",text,1048576,65536,yes,Closed multimodal model; Google documents token limits and modalities but not architecture details or parameter count.,Gemini models | Gemini API,https://ai.google.dev/gemini-api/docs/models,Gemini models | Gemini API,https://ai.google.dev/gemini-api/docs/models,Gemini models | Gemini API,https://ai.google.dev/gemini-api/docs/models
gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,google,api,closed,Global multi-region,multi_region,Gemini API model documentation,https://ai.google.dev/gemini-api/docs/models,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,30,30,estimated,low,Gemini 2.0 Flash exp estimate (30B) used as family proxy for Flash-Lite,https://lifearchitect.ai/models-table/,Family proxy used because a specific public parameter estimate for Gemini 2.5 Flash-Lite was not found.,"text,image,audio,video,pdf",text,1048576,65536,yes,Closed multimodal model; Google documents token limits and modalities but not architecture details or parameter count.,Gemini models | Gemini API,https://ai.google.dev/gemini-api/docs/models,Gemini models | Gemini API,https://ai.google.dev/gemini-api/docs/models,Gemini models | Gemini API,https://ai.google.dev/gemini-api/docs/models
gemini-2.0-flash,Gemini 2.0 Flash,google,api,closed,Global multi-region,multi_region,Gemini API model documentation,https://ai.google.dev/gemini-api/docs/models,US,screening_proxy,Project screening proxy when exact serving country is not publicly specified,,30,30,estimated,low,Alan D. Thompson Models Table estimate for Gemini 2.0 Flash exp (30B),https://lifearchitect.ai/models-table/,Third-party estimate; Google does not publish a parameter count for Gemini 2.0 Flash.,"text,image,audio,video",text,1048576,8192,yes,Closed multimodal model; Google documents token limits and modalities but not architecture details or parameter count.,Gemini models | Gemini API,https://ai.google.dev/gemini-api/docs/models,Gemini models | Gemini API,https://ai.google.dev/gemini-api/docs/models,Gemini models | Gemini API,https://ai.google.dev/gemini-api/docs/models
grok-4,Grok 4,xai,api,closed,United States or Ireland,documented_multi_region,xAI API regions and models documentation,https://docs.x.ai/docs/models,US,documented_region_proxy,xAI API documented regions include US and Ireland; US retained as reference,https://docs.x.ai/docs/overview#supported-regions,600,600,estimated,low,Alan D. Thompson Models Table estimate for Grok 4 (600B),https://lifearchitect.ai/models-table/,Third-party estimate; xAI does not publish the parameter count.,"text,image",text,2000000,,yes,"Closed reasoning model; xAI documents a 2M-token context window and image understanding tooling, but does not publish architecture details or parameter count.",Models and Pricing | xAI,https://docs.x.ai/developers/models,Models and Pricing | xAI,https://docs.x.ai/developers/models,Models and Pricing | xAI,https://docs.x.ai/developers/models
llama-3.1-8b,Llama 3.1 8B,meta,open_weight,open,Variable by host,self_hosted_variable,Meta Llama 3.1 model card,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_1/,US,comparative_reference,Project reference country for comparable inference estimates,,8,8,observed,high,Meta Llama 3.1 model card,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_1/,Open-weight model; emissions depend on deployment location.,text,"text,code",131072,,no,Open-weight dense transformer with GQA; model card documents a 128k context window and text-only IO.,meta-llama/Llama-3.1 model card,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1 model card,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1 model card,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct
llama-3.1-70b,Llama 3.1 70B,meta,open_weight,open,Variable by host,self_hosted_variable,Meta Llama 3.1 model card,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_1/,US,comparative_reference,Project reference country for comparable inference estimates,,70,70,observed,high,Meta Llama 3.1 model card,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_1/,Open-weight model; emissions depend on deployment location.,text,"text,code",131072,,no,Open-weight dense transformer with GQA; model card documents a 128k context window and text-only IO.,meta-llama/Llama-3.1 model card,https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,meta-llama/Llama-3.1 model card,https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,meta-llama/Llama-3.1 model card,https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct
llama-3.1-405b,Llama 3.1 405B,meta,open_weight,open,Variable by host,self_hosted_variable,Meta Llama 3.1 model card,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_1/,US,comparative_reference,Project reference country for comparable inference estimates,,405,405,observed,high,Meta Llama 3.1 model card,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_1/,Open-weight model; emissions depend on deployment location.,text,"text,code",131072,,no,Open-weight dense transformer with GQA; model card documents a 128k context window and text-only IO.,meta-llama/Llama-3.1 model card,https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct,meta-llama/Llama-3.1 model card,https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct,meta-llama/Llama-3.1 model card,https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct
ministral-3b,Ministral 3B,mistral,api_and_open_weight,hybrid,France (provider proxy),provider_country_proxy,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,FR,provider_country_proxy,Mistral provider country retained as screening proxy,https://docs.mistral.ai/getting-started/models/models_overview/,3,3,observed,medium,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,Server country not explicitly documented; France retained as provider-country proxy.,text,text,128000,,no,Research-licensed edge model; legacy docs expose a 128k context window but not a vision interface for this version.,Research-licensed edge model - Mistral Docs,https://docs.mistral.ai/models/ministral-3b-24-1,Research-licensed edge model - Mistral Docs,https://docs.mistral.ai/models/ministral-3b-24-1,Research-licensed edge model - Mistral Docs,https://docs.mistral.ai/models/ministral-3b-24-1
ministral-8b,Ministral 8B,mistral,api_and_open_weight,hybrid,France (provider proxy),provider_country_proxy,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,FR,provider_country_proxy,Mistral provider country retained as screening proxy,https://docs.mistral.ai/getting-started/models/models_overview/,8,8,observed,medium,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,Server country not explicitly documented; France retained as provider-country proxy.,text,text,128000,,no,Research-licensed edge model; legacy docs expose a 128k context window but not a vision interface for this version.,Research-licensed edge model - Mistral Docs,https://docs.mistral.ai/models/ministral-8b-24-1,Research-licensed edge model - Mistral Docs,https://docs.mistral.ai/models/ministral-8b-24-1,Research-licensed edge model - Mistral Docs,https://docs.mistral.ai/models/ministral-8b-24-1
mistral-large,Mistral Large,mistral,api,closed,France or EU region not publicly specified,provider_country_proxy,Mistral Large 2 launch note,https://mistral.ai/news/mistral-large-2407/,FR,provider_country_proxy,Mistral provider country retained as screening proxy,https://docs.mistral.ai/getting-started/models/models_overview/,123,123,observed,medium,Mistral Large 2 launch note,https://mistral.ai/news/mistral-large-2407/,Mistral documents Mistral Large 2 as a 123B-parameter model; this value is used as the closest public screening proxy for Mistral Large-family API scenarios.,"text,image",text,128000,,yes,"Commercial large model family; Mistral Large 2.1 docs expose a 128k context window, while the July 2024 launch note documents 123B parameters for Large 2.",Mistral Large 2.1 - Mistral Docs,https://docs.mistral.ai/models/mistral-large-2-1-24-11,Mistral Large 2.1 - Mistral Docs,https://docs.mistral.ai/models/mistral-large-2-1-24-11,Mistral Large 2.1 - Mistral Docs; Mistral Large 2 launch note,https://docs.mistral.ai/models/mistral-large-2-1-24-11 | https://mistral.ai/news/mistral-large-2407/
mistral-small-3.1-24b,Mistral Small 3.1 24B,mistral,api_and_open_weight,hybrid,France (provider proxy),provider_country_proxy,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,FR,provider_country_proxy,Mistral provider country retained as screening proxy,https://docs.mistral.ai/getting-started/models/models_overview/,24,24,observed,medium,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,Server country not explicitly documented; France retained as provider-country proxy.,"text,image",text,128000,,yes,Open 24B model with image understanding in the 3.1 release line.,Mistral Small 3.1 - Mistral Docs,https://docs.mistral.ai/models/mistral-small-3-1-25-03,Mistral Small 3.1 - Mistral Docs,https://docs.mistral.ai/models/mistral-small-3-1-25-03,Mistral Small 3.1 - Mistral Docs,https://docs.mistral.ai/models/mistral-small-3-1-25-03
codestral-22b,Codestral 22B,mistral,api_and_open_weight,hybrid,France (provider proxy),provider_country_proxy,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,FR,provider_country_proxy,Mistral provider country retained as screening proxy,https://docs.mistral.ai/getting-started/models/models_overview/,22,22,observed,medium,Mistral model overview,https://docs.mistral.ai/getting-started/models/models_overview/,Server country not explicitly documented; France retained as provider-country proxy.,text,"text,code",32000,,no,"Open coding model; Mistral docs expose 22B parameters, 22B active parameters, and a 32k context window.",Codestral - Mistral Docs,https://docs.mistral.ai/models/codestral-24-05,Codestral - Mistral Docs,https://docs.mistral.ai/models/codestral-24-05,Codestral - Mistral Docs,https://docs.mistral.ai/models/codestral-24-05
qwen2.5-7b,Qwen2.5 7B,alibaba,open_weight,open,China (provider proxy),provider_country_proxy,Qwen model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,CN,provider_country_proxy,Alibaba provider country retained as screening proxy,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,7,7,observed,high,Qwen2.5 7B model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,Open-weight model; server country depends on deployment location.,text,text,131072,8192,no,"Open dense transformer with RoPE, SwiGLU, RMSNorm, attention QKV bias, and GQA; official card reports 7.6B total parameters and long-context support via YaRN.",Qwen2.5 7B model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,Qwen2.5 7B model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,Qwen2.5 7B model card,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct
qwen2.5-32b,Qwen2.5 32B,alibaba,open_weight,open,China (provider proxy),provider_country_proxy,Qwen model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,CN,provider_country_proxy,Alibaba provider country retained as screening proxy,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,32,32,observed,high,Qwen2.5 32B model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,Open-weight model; server country depends on deployment location.,text,text,131072,8192,no,"Open dense transformer with RoPE, SwiGLU, RMSNorm, attention QKV bias, and GQA; official card reports 32.5B total parameters and long-context support via YaRN.",Qwen2.5 32B model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,Qwen2.5 32B model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,Qwen2.5 32B model card,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct
qwen2.5-72b,Qwen2.5 72B,alibaba,open_weight,open,China (provider proxy),provider_country_proxy,Qwen model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,CN,provider_country_proxy,Alibaba provider country retained as screening proxy,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,72,72,observed,high,Qwen2.5 72B model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,Open-weight model; server country depends on deployment location.,text,text,131072,8192,no,"Open dense transformer with RoPE, SwiGLU, RMSNorm, attention QKV bias, and GQA; official card reports 72.7B total parameters and long-context support via YaRN.",Qwen2.5 72B model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,Qwen2.5 72B model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,Qwen2.5 72B model card,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct
deepseek-v3,DeepSeek V3,deepseek,api_and_open_weight,hybrid,China (provider proxy),provider_country_proxy,DeepSeek model card,https://huggingface.co/deepseek-ai/DeepSeek-V3,CN,provider_country_proxy,DeepSeek provider country retained as screening proxy,https://huggingface.co/deepseek-ai/DeepSeek-V3,37,671,observed,high,DeepSeek-V3 model card,https://huggingface.co/deepseek-ai/DeepSeek-V3,Mixture-of-experts model with 37B activated parameters.,text,text,128000,,no,Open MoE model; DeepSeek-V3 repository reports 671B total parameters and 37B activated parameters.,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3
deepseek-r1,DeepSeek R1,deepseek,api_and_open_weight,hybrid,China (provider proxy),provider_country_proxy,DeepSeek model card,https://huggingface.co/deepseek-ai/DeepSeek-R1,CN,provider_country_proxy,DeepSeek provider country retained as screening proxy,https://huggingface.co/deepseek-ai/DeepSeek-R1,37,671,observed,high,DeepSeek-R1 model card,https://huggingface.co/deepseek-ai/DeepSeek-R1,The model card states that DeepSeek-R1 is based on DeepSeek-V3-Base.,text,text,128000,,no,Open reasoning MoE model built on DeepSeek-V3-Base; official card reports 671B total parameters and 37B activated parameters.,deepseek-ai/DeepSeek-R1,https://huggingface.co/deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-R1,https://huggingface.co/deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-R1,https://huggingface.co/deepseek-ai/DeepSeek-R1
